Grupo1	Grupo2	Metrica	G1_variable_1	G1_variable_2	G1_variable_3	G1_variable_4	G2_variable_1	G2_variable_2	G2_variable_3	G2_variable_4	Wilcoxon_estadistico	Wilcoxon_valor-p
t_wa_prc_yesSC_7_sum	t_wa_prc_yesSC_7_con	prc	sum	7	yesSC	[]	con	7	yesSC	[]	0.0	0.00390625
t_wa_prc_yesSC_7_sum	t_wa_prc_yesSC_8_sum	prc	sum	7	yesSC	[]	sum	8	yesSC	[]	13.5	0.5281061253470647
t_wa_prc_yesSC_7_sum	t_wa_prc_yesSC_8_con	prc	sum	7	yesSC	[]	con	8	yesSC	[]	0.0	0.00390625
t_wa_prc_yesSC_7_sum	t_wa_prc_noSC_7_sum	prc	sum	7	yesSC	[]	sum	7	noSC	[]	19.5	0.8203125
t_wa_prc_yesSC_7_sum	t_wa_prc_noSC_7_con	prc	sum	7	yesSC	[]	con	7	noSC	[]	0.0	0.00390625
t_wa_prc_yesSC_7_sum	t_wa_prc_noSC_8_sum	prc	sum	7	yesSC	[]	sum	8	noSC	[]	20.5	0.8203125
t_wa_prc_yesSC_7_sum	t_wa_prc_noSC_8_con	prc	sum	7	yesSC	[]	con	8	noSC	[]	4.0	0.02734375
t_wa_prc_yesSC_7_con	t_wa_prc_yesSC_8_sum	prc	con	7	yesSC	[]	sum	8	yesSC	[]	0.0	0.00390625
t_wa_prc_yesSC_7_con	t_wa_prc_yesSC_8_con	prc	con	7	yesSC	[]	con	8	yesSC	[]	14.0	0.5754030229127536
t_wa_prc_yesSC_7_con	t_wa_prc_noSC_7_sum	prc	con	7	yesSC	[]	sum	7	noSC	[]	1.0	0.0078125
t_wa_prc_yesSC_7_con	t_wa_prc_noSC_7_con	prc	con	7	yesSC	[]	con	7	noSC	[]	19.0	0.734375
t_wa_prc_yesSC_7_con	t_wa_prc_noSC_8_sum	prc	con	7	yesSC	[]	sum	8	noSC	[]	1.0	0.0078125
t_wa_prc_yesSC_7_con	t_wa_prc_noSC_8_con	prc	con	7	yesSC	[]	con	8	noSC	[]	10.0	0.1640625
t_wa_prc_yesSC_8_sum	t_wa_prc_yesSC_8_con	prc	sum	8	yesSC	[]	con	8	yesSC	[]	0.0	0.00390625
t_wa_prc_yesSC_8_sum	t_wa_prc_noSC_7_sum	prc	sum	8	yesSC	[]	sum	7	noSC	[]	8.0	0.1614294623670833
t_wa_prc_yesSC_8_sum	t_wa_prc_noSC_7_con	prc	sum	8	yesSC	[]	con	7	noSC	[]	0.0	0.00390625
t_wa_prc_yesSC_8_sum	t_wa_prc_noSC_8_sum	prc	sum	8	yesSC	[]	sum	8	noSC	[]	21.0	0.91015625
t_wa_prc_yesSC_8_sum	t_wa_prc_noSC_8_con	prc	sum	8	yesSC	[]	con	8	noSC	[]	1.0	0.0078125
t_wa_prc_yesSC_8_con	t_wa_prc_noSC_7_sum	prc	con	8	yesSC	[]	sum	7	noSC	[]	0.0	0.00390625
t_wa_prc_yesSC_8_con	t_wa_prc_noSC_7_con	prc	con	8	yesSC	[]	con	7	noSC	[]	21.0	0.91015625
t_wa_prc_yesSC_8_con	t_wa_prc_noSC_8_sum	prc	con	8	yesSC	[]	sum	8	noSC	[]	0.0	0.00390625
t_wa_prc_yesSC_8_con	t_wa_prc_noSC_8_con	prc	con	8	yesSC	[]	con	8	noSC	[]	13.0	0.30078125
t_wa_prc_noSC_7_sum	t_wa_prc_noSC_7_con	prc	sum	7	noSC	[]	con	7	noSC	[]	0.0	0.00390625
t_wa_prc_noSC_7_sum	t_wa_prc_noSC_8_sum	prc	sum	7	noSC	[]	sum	8	noSC	[]	16.0	0.779434528427275
t_wa_prc_noSC_7_sum	t_wa_prc_noSC_8_con	prc	sum	7	noSC	[]	con	8	noSC	[]	0.0	0.00390625
t_wa_prc_noSC_7_con	t_wa_prc_noSC_8_sum	prc	con	7	noSC	[]	sum	8	noSC	[]	0.0	0.00390625
t_wa_prc_noSC_7_con	t_wa_prc_noSC_8_con	prc	con	7	noSC	[]	con	8	noSC	[]	16.0	0.49609375
t_wa_prc_noSC_8_sum	t_wa_prc_noSC_8_con	prc	sum	8	noSC	[]	con	8	noSC	[]	4.0	0.02734375
t_wa_precision_yesSC_7_sum	t_wa_precision_yesSC_7_con	precision	sum	7	yesSC	[]	con	7	yesSC	[]	1.0	0.0078125
t_wa_precision_yesSC_7_sum	t_wa_precision_yesSC_8_sum	precision	sum	7	yesSC	[]	sum	8	yesSC	[]	12.0	0.4008141693829344
t_wa_precision_yesSC_7_sum	t_wa_precision_yesSC_8_con	precision	sum	7	yesSC	[]	con	8	yesSC	[]	1.0	0.0078125
t_wa_precision_yesSC_7_sum	t_wa_precision_noSC_7_sum	precision	sum	7	yesSC	[]	sum	7	noSC	[]	16.0	0.49609375
t_wa_precision_yesSC_7_sum	t_wa_precision_noSC_7_con	precision	sum	7	yesSC	[]	con	7	noSC	[]	0.0	0.00390625
t_wa_precision_yesSC_7_sum	t_wa_precision_noSC_8_sum	precision	sum	7	yesSC	[]	sum	8	noSC	[]	20.5	0.91015625
t_wa_precision_yesSC_7_sum	t_wa_precision_noSC_8_con	precision	sum	7	yesSC	[]	con	8	noSC	[]	1.0	0.0078125
t_wa_precision_yesSC_7_con	t_wa_precision_yesSC_8_sum	precision	con	7	yesSC	[]	sum	8	yesSC	[]	0.0	0.00390625
t_wa_precision_yesSC_7_con	t_wa_precision_yesSC_8_con	precision	con	7	yesSC	[]	con	8	yesSC	[]	16.5	0.8334336202223243
t_wa_precision_yesSC_7_con	t_wa_precision_noSC_7_sum	precision	con	7	yesSC	[]	sum	7	noSC	[]	1.5	0.01171875
t_wa_precision_yesSC_7_con	t_wa_precision_noSC_7_con	precision	con	7	yesSC	[]	con	7	noSC	[]	13.0	0.4838398513935682
t_wa_precision_yesSC_7_con	t_wa_precision_noSC_8_sum	precision	con	7	yesSC	[]	sum	8	noSC	[]	4.0	0.02734375
t_wa_precision_yesSC_7_con	t_wa_precision_noSC_8_con	precision	con	7	yesSC	[]	con	8	noSC	[]	17.0	0.8886378608950078
t_wa_precision_yesSC_8_sum	t_wa_precision_yesSC_8_con	precision	sum	8	yesSC	[]	con	8	yesSC	[]	0.0	0.00390625
t_wa_precision_yesSC_8_sum	t_wa_precision_noSC_7_sum	precision	sum	8	yesSC	[]	sum	7	noSC	[]	20.0	0.8203125
t_wa_precision_yesSC_8_sum	t_wa_precision_noSC_7_con	precision	sum	8	yesSC	[]	con	7	noSC	[]	0.0	0.00390625
t_wa_precision_yesSC_8_sum	t_wa_precision_noSC_8_sum	precision	sum	8	yesSC	[]	sum	8	noSC	[]	21.0	0.91015625
t_wa_precision_yesSC_8_sum	t_wa_precision_noSC_8_con	precision	sum	8	yesSC	[]	con	8	noSC	[]	0.0	0.00390625
t_wa_precision_yesSC_8_con	t_wa_precision_noSC_7_sum	precision	con	8	yesSC	[]	sum	7	noSC	[]	1.0	0.0078125
t_wa_precision_yesSC_8_con	t_wa_precision_noSC_7_con	precision	con	8	yesSC	[]	con	7	noSC	[]	15.0	0.6744240722352938
t_wa_precision_yesSC_8_con	t_wa_precision_noSC_8_sum	precision	con	8	yesSC	[]	sum	8	noSC	[]	1.0	0.0078125
t_wa_precision_yesSC_8_con	t_wa_precision_noSC_8_con	precision	con	8	yesSC	[]	con	8	noSC	[]	18.5	0.65234375
t_wa_precision_noSC_7_sum	t_wa_precision_noSC_7_con	precision	sum	7	noSC	[]	con	7	noSC	[]	3.0	0.01953125
t_wa_precision_noSC_7_sum	t_wa_precision_noSC_8_sum	precision	sum	7	noSC	[]	sum	8	noSC	[]	21.0	0.91015625
t_wa_precision_noSC_7_sum	t_wa_precision_noSC_8_con	precision	sum	7	noSC	[]	con	8	noSC	[]	0.0	0.00390625
t_wa_precision_noSC_7_con	t_wa_precision_noSC_8_sum	precision	con	7	noSC	[]	sum	8	noSC	[]	2.5	0.01953125
t_wa_precision_noSC_7_con	t_wa_precision_noSC_8_con	precision	con	7	noSC	[]	con	8	noSC	[]	22.0	1.0
t_wa_precision_noSC_8_sum	t_wa_precision_noSC_8_con	precision	sum	8	noSC	[]	con	8	noSC	[]	0.0	0.00390625
t_wa_recall_yesSC_7_sum	t_wa_recall_yesSC_7_con	recall	sum	7	yesSC	[]	con	7	yesSC	[]	2.0	0.01171875
t_wa_recall_yesSC_7_sum	t_wa_recall_yesSC_8_sum	recall	sum	7	yesSC	[]	sum	8	yesSC	[]	14.0	0.359375
t_wa_recall_yesSC_7_sum	t_wa_recall_yesSC_8_con	recall	sum	7	yesSC	[]	con	8	yesSC	[]	0.0	0.00390625
t_wa_recall_yesSC_7_sum	t_wa_recall_noSC_7_sum	recall	sum	7	yesSC	[]	sum	7	noSC	[]	17.0	0.5703125
t_wa_recall_yesSC_7_sum	t_wa_recall_noSC_7_con	recall	sum	7	yesSC	[]	con	7	noSC	[]	1.0	0.0078125
t_wa_recall_yesSC_7_sum	t_wa_recall_noSC_8_sum	recall	sum	7	yesSC	[]	sum	8	noSC	[]	21.0	0.91015625
t_wa_recall_yesSC_7_sum	t_wa_recall_noSC_8_con	recall	sum	7	yesSC	[]	con	8	noSC	[]	1.0	0.0078125
t_wa_recall_yesSC_7_con	t_wa_recall_yesSC_8_sum	recall	con	7	yesSC	[]	sum	8	yesSC	[]	0.0	0.00390625
t_wa_recall_yesSC_7_con	t_wa_recall_yesSC_8_con	recall	con	7	yesSC	[]	con	8	yesSC	[]	17.0	0.8886378608950078
t_wa_recall_yesSC_7_con	t_wa_recall_noSC_7_sum	recall	con	7	yesSC	[]	sum	7	noSC	[]	3.0	0.01953125
t_wa_recall_yesSC_7_con	t_wa_recall_noSC_7_con	recall	con	7	yesSC	[]	con	7	noSC	[]	15.0	0.6744240722352938
t_wa_recall_yesSC_7_con	t_wa_recall_noSC_8_sum	recall	con	7	yesSC	[]	sum	8	noSC	[]	5.0	0.0390625
t_wa_recall_yesSC_7_con	t_wa_recall_noSC_8_con	recall	con	7	yesSC	[]	con	8	noSC	[]	17.0	0.8885020292282984
t_wa_recall_yesSC_8_sum	t_wa_recall_yesSC_8_con	recall	sum	8	yesSC	[]	con	8	yesSC	[]	0.0	0.00390625
t_wa_recall_yesSC_8_sum	t_wa_recall_noSC_7_sum	recall	sum	8	yesSC	[]	sum	7	noSC	[]	14.0	0.574934084570652
t_wa_recall_yesSC_8_sum	t_wa_recall_noSC_7_con	recall	sum	8	yesSC	[]	con	7	noSC	[]	1.0	0.0078125
t_wa_recall_yesSC_8_sum	t_wa_recall_noSC_8_sum	recall	sum	8	yesSC	[]	sum	8	noSC	[]	20.0	0.8203125
t_wa_recall_yesSC_8_sum	t_wa_recall_noSC_8_con	recall	sum	8	yesSC	[]	con	8	noSC	[]	0.0	0.00390625
t_wa_recall_yesSC_8_con	t_wa_recall_noSC_7_sum	recall	con	8	yesSC	[]	sum	7	noSC	[]	1.0	0.0078125
t_wa_recall_yesSC_8_con	t_wa_recall_noSC_7_con	recall	con	8	yesSC	[]	con	7	noSC	[]	14.0	0.574934084570652
t_wa_recall_yesSC_8_con	t_wa_recall_noSC_8_sum	recall	con	8	yesSC	[]	sum	8	noSC	[]	1.0	0.0078125
t_wa_recall_yesSC_8_con	t_wa_recall_noSC_8_con	recall	con	8	yesSC	[]	con	8	noSC	[]	13.0	0.4838398513935682
t_wa_recall_noSC_7_sum	t_wa_recall_noSC_7_con	recall	sum	7	noSC	[]	con	7	noSC	[]	3.0	0.01953125
t_wa_recall_noSC_7_sum	t_wa_recall_noSC_8_sum	recall	sum	7	noSC	[]	sum	8	noSC	[]	20.0	0.8203125
t_wa_recall_noSC_7_sum	t_wa_recall_noSC_8_con	recall	sum	7	noSC	[]	con	8	noSC	[]	0.0	0.00390625
t_wa_recall_noSC_7_con	t_wa_recall_noSC_8_sum	recall	con	7	noSC	[]	sum	8	noSC	[]	3.0	0.01953125
t_wa_recall_noSC_7_con	t_wa_recall_noSC_8_con	recall	con	7	noSC	[]	con	8	noSC	[]	19.0	0.734375
t_wa_recall_noSC_8_sum	t_wa_recall_noSC_8_con	recall	sum	8	noSC	[]	con	8	noSC	[]	0.0	0.00390625
t_wa_f_yesSC_7_sum	t_wa_f_yesSC_7_con	f	sum	7	yesSC	[]	con	7	yesSC	[]	2.0	0.01171875
t_wa_f_yesSC_7_sum	t_wa_f_yesSC_8_sum	f	sum	7	yesSC	[]	sum	8	yesSC	[]	14.0	0.359375
t_wa_f_yesSC_7_sum	t_wa_f_yesSC_8_con	f	sum	7	yesSC	[]	con	8	yesSC	[]	0.0	0.00390625
t_wa_f_yesSC_7_sum	t_wa_f_noSC_7_sum	f	sum	7	yesSC	[]	sum	7	noSC	[]	17.0	0.5703125
t_wa_f_yesSC_7_sum	t_wa_f_noSC_7_con	f	sum	7	yesSC	[]	con	7	noSC	[]	1.5	0.0078125
t_wa_f_yesSC_7_sum	t_wa_f_noSC_8_sum	f	sum	7	yesSC	[]	sum	8	noSC	[]	22.0	1.0
t_wa_f_yesSC_7_sum	t_wa_f_noSC_8_con	f	sum	7	yesSC	[]	con	8	noSC	[]	1.0	0.0078125
t_wa_f_yesSC_7_con	t_wa_f_yesSC_8_sum	f	con	7	yesSC	[]	sum	8	yesSC	[]	0.0	0.00390625
t_wa_f_yesSC_7_con	t_wa_f_yesSC_8_con	f	con	7	yesSC	[]	con	8	yesSC	[]	17.0	0.8886378608950078
t_wa_f_yesSC_7_con	t_wa_f_noSC_7_sum	f	con	7	yesSC	[]	sum	7	noSC	[]	3.0	0.01953125
t_wa_f_yesSC_7_con	t_wa_f_noSC_7_con	f	con	7	yesSC	[]	con	7	noSC	[]	15.0	0.6744240722352938
t_wa_f_yesSC_7_con	t_wa_f_noSC_8_sum	f	con	7	yesSC	[]	sum	8	noSC	[]	5.0	0.0390625
t_wa_f_yesSC_7_con	t_wa_f_noSC_8_con	f	con	7	yesSC	[]	con	8	noSC	[]	17.0	0.8885020292282984
t_wa_f_yesSC_8_sum	t_wa_f_yesSC_8_con	f	sum	8	yesSC	[]	con	8	yesSC	[]	0.0	0.00390625
t_wa_f_yesSC_8_sum	t_wa_f_noSC_7_sum	f	sum	8	yesSC	[]	sum	7	noSC	[]	14.0	0.5754030229127536
t_wa_f_yesSC_8_sum	t_wa_f_noSC_7_con	f	sum	8	yesSC	[]	con	7	noSC	[]	1.0	0.0078125
t_wa_f_yesSC_8_sum	t_wa_f_noSC_8_sum	f	sum	8	yesSC	[]	sum	8	noSC	[]	20.0	0.8203125
t_wa_f_yesSC_8_sum	t_wa_f_noSC_8_con	f	sum	8	yesSC	[]	con	8	noSC	[]	0.0	0.00390625
t_wa_f_yesSC_8_con	t_wa_f_noSC_7_sum	f	con	8	yesSC	[]	sum	7	noSC	[]	1.0	0.0078125
t_wa_f_yesSC_8_con	t_wa_f_noSC_7_con	f	con	8	yesSC	[]	con	7	noSC	[]	13.0	0.4838398513935682
t_wa_f_yesSC_8_con	t_wa_f_noSC_8_sum	f	con	8	yesSC	[]	sum	8	noSC	[]	1.0	0.0078125
t_wa_f_yesSC_8_con	t_wa_f_noSC_8_con	f	con	8	yesSC	[]	con	8	noSC	[]	13.0	0.4838398513935682
t_wa_f_noSC_7_sum	t_wa_f_noSC_7_con	f	sum	7	noSC	[]	con	7	noSC	[]	3.0	0.01953125
t_wa_f_noSC_7_sum	t_wa_f_noSC_8_sum	f	sum	7	noSC	[]	sum	8	noSC	[]	21.0	0.91015625
t_wa_f_noSC_7_sum	t_wa_f_noSC_8_con	f	sum	7	noSC	[]	con	8	noSC	[]	0.0	0.00390625
t_wa_f_noSC_7_con	t_wa_f_noSC_8_sum	f	con	7	noSC	[]	sum	8	noSC	[]	3.0	0.01953125
t_wa_f_noSC_7_con	t_wa_f_noSC_8_con	f	con	7	noSC	[]	con	8	noSC	[]	19.0	0.734375
t_wa_f_noSC_8_sum	t_wa_f_noSC_8_con	f	sum	8	noSC	[]	con	8	noSC	[]	0.0	0.00390625
t_wa_roc_yesSC_7_sum	t_wa_roc_yesSC_7_con	roc	sum	7	yesSC	[]	con	7	yesSC	[]	0.0	0.00390625
t_wa_roc_yesSC_7_sum	t_wa_roc_yesSC_8_sum	roc	sum	7	yesSC	[]	sum	8	yesSC	[]	21.0	0.91015625
t_wa_roc_yesSC_7_sum	t_wa_roc_yesSC_8_con	roc	sum	7	yesSC	[]	con	8	yesSC	[]	0.0	0.00390625
t_wa_roc_yesSC_7_sum	t_wa_roc_noSC_7_sum	roc	sum	7	yesSC	[]	sum	7	noSC	[]	19.0	0.734375
t_wa_roc_yesSC_7_sum	t_wa_roc_noSC_7_con	roc	sum	7	yesSC	[]	con	7	noSC	[]	0.0	0.00390625
t_wa_roc_yesSC_7_sum	t_wa_roc_noSC_8_sum	roc	sum	7	yesSC	[]	sum	8	noSC	[]	17.0	0.8886378608950078
t_wa_roc_yesSC_7_sum	t_wa_roc_noSC_8_con	roc	sum	7	yesSC	[]	con	8	noSC	[]	1.0	0.0078125
t_wa_roc_yesSC_7_con	t_wa_roc_yesSC_8_sum	roc	con	7	yesSC	[]	sum	8	yesSC	[]	0.0	0.00390625
t_wa_roc_yesSC_7_con	t_wa_roc_yesSC_8_con	roc	con	7	yesSC	[]	con	8	yesSC	[]	21.5	1.0
t_wa_roc_yesSC_7_con	t_wa_roc_noSC_7_sum	roc	con	7	yesSC	[]	sum	7	noSC	[]	1.0	0.0078125
t_wa_roc_yesSC_7_con	t_wa_roc_noSC_7_con	roc	con	7	yesSC	[]	con	7	noSC	[]	18.0	0.65234375
t_wa_roc_yesSC_7_con	t_wa_roc_noSC_8_sum	roc	con	7	yesSC	[]	sum	8	noSC	[]	3.0	0.01953125
t_wa_roc_yesSC_7_con	t_wa_roc_noSC_8_con	roc	con	7	yesSC	[]	con	8	noSC	[]	14.5	0.359375
t_wa_roc_yesSC_8_sum	t_wa_roc_yesSC_8_con	roc	sum	8	yesSC	[]	con	8	yesSC	[]	0.0	0.00390625
t_wa_roc_yesSC_8_sum	t_wa_roc_noSC_7_sum	roc	sum	8	yesSC	[]	sum	7	noSC	[]	13.5	0.359375
t_wa_roc_yesSC_8_sum	t_wa_roc_noSC_7_con	roc	sum	8	yesSC	[]	con	7	noSC	[]	0.0	0.00390625
t_wa_roc_yesSC_8_sum	t_wa_roc_noSC_8_sum	roc	sum	8	yesSC	[]	sum	8	noSC	[]	21.0	0.91015625
t_wa_roc_yesSC_8_sum	t_wa_roc_noSC_8_con	roc	sum	8	yesSC	[]	con	8	noSC	[]	1.0	0.0078125
t_wa_roc_yesSC_8_con	t_wa_roc_noSC_7_sum	roc	con	8	yesSC	[]	sum	7	noSC	[]	0.0	0.00390625
t_wa_roc_yesSC_8_con	t_wa_roc_noSC_7_con	roc	con	8	yesSC	[]	con	7	noSC	[]	15.0	0.42578125
t_wa_roc_yesSC_8_con	t_wa_roc_noSC_8_sum	roc	con	8	yesSC	[]	sum	8	noSC	[]	0.0	0.00390625
t_wa_roc_yesSC_8_con	t_wa_roc_noSC_8_con	roc	con	8	yesSC	[]	con	8	noSC	[]	11.0	0.203125
t_wa_roc_noSC_7_sum	t_wa_roc_noSC_7_con	roc	sum	7	noSC	[]	con	7	noSC	[]	0.0	0.00390625
t_wa_roc_noSC_7_sum	t_wa_roc_noSC_8_sum	roc	sum	7	noSC	[]	sum	8	noSC	[]	22.0	1.0
t_wa_roc_noSC_7_sum	t_wa_roc_noSC_8_con	roc	sum	7	noSC	[]	con	8	noSC	[]	0.0	0.00390625
t_wa_roc_noSC_7_con	t_wa_roc_noSC_8_sum	roc	con	7	noSC	[]	sum	8	noSC	[]	0.0	0.00390625
t_wa_roc_noSC_7_con	t_wa_roc_noSC_8_con	roc	con	7	noSC	[]	con	8	noSC	[]	16.0	0.779434528427275
t_wa_roc_noSC_8_sum	t_wa_roc_noSC_8_con	roc	sum	8	noSC	[]	con	8	noSC	[]	3.0	0.01953125
